,mask_criterion,seed,iteration,test_accuracy
0,large_final,0,0,0.056699998676776886
1,large_final,0,1,0.11140000075101852
2,large_final,0,2,0.17919999361038208
3,large_final,0,3,0.22380000352859497
4,large_final,0,4,0.21889999508857727
5,large_final,0,5,0.23070000112056732
6,large_final,0,6,0.2515999972820282
7,large_final,0,7,0.298799991607666
8,large_final,0,8,0.3402000069618225
9,large_final,0,9,0.3538999855518341
10,large_final,0,10,0.2987000048160553
11,large_final,0,11,0.24400000274181366
12,large_final,0,12,0.20399999618530273
13,large_final,0,13,0.1386999934911728
14,large_final,0,14,0.12520000338554382
15,large_final,0,15,0.2142000049352646
16,large_final,0,16,0.1565999984741211
17,large_final,0,17,0.12439999729394913
18,large_final,0,18,0.13339999318122864
19,large_final,0,19,0.08079999685287476
20,large_final,0,20,0.06650000065565109
21,large_final,0,21,0.10180000215768814
22,large_final,0,22,0.07010000199079514
23,large_final,0,23,0.04430000111460686
24,large_final,0,24,0.05860000103712082
25,small_final,0,0,0.056699998676776886
26,small_final,0,1,0.0551999993622303
27,small_final,0,2,0.0502999983727932
28,small_final,0,3,0.06270000338554382
29,small_final,0,4,0.09440000355243683
30,small_final,0,5,0.09709999710321426
31,small_final,0,6,0.09809999912977219
32,small_final,0,7,0.11810000240802765
33,small_final,0,8,0.1404000073671341
34,small_final,0,9,0.14090000092983246
35,small_final,0,10,0.12559999525547028
36,small_final,0,11,0.08540000021457672
37,small_final,0,12,0.09260000288486481
38,small_final,0,13,0.1006999984383583
39,small_final,0,14,0.10490000247955322
40,small_final,0,15,0.07909999787807465
41,small_final,0,16,0.053700000047683716
42,small_final,0,17,0.07180000096559525
43,small_final,0,18,0.08139999955892563
44,small_final,0,19,0.07639999687671661
45,small_final,0,20,0.08879999816417694
46,small_final,0,21,0.07500000298023224
47,small_final,0,22,0.08510000258684158
48,small_final,0,23,0.09920000284910202
49,small_final,0,24,0.08609999716281891
50,random,0,0,0.056699998676776886
51,random,0,1,0.07500000298023224
52,random,0,2,0.05790000036358833
53,random,0,3,0.05590000003576279
54,random,0,4,0.09430000185966492
55,random,0,5,0.14419999718666077
56,random,0,6,0.08190000057220459
57,random,0,7,0.1453000009059906
58,random,0,8,0.09780000150203705
59,random,0,9,0.10360000282526016
60,random,0,10,0.07109999656677246
61,random,0,11,0.11469999700784683
62,random,0,12,0.1356000006198883
63,random,0,13,0.08510000258684158
64,random,0,14,0.12449999898672104
65,random,0,15,0.11159999668598175
66,random,0,16,0.09239999949932098
67,random,0,17,0.11729999631643295
