,mask_criterion,seed,iteration,test_accuracy
0,large_final_same_sign,0,0,0.9786999821662903
1,large_final_same_sign,0,1,0.9810000061988831
2,large_final_same_sign,0,2,0.9814000129699707
3,large_final_same_sign,0,3,0.9817000031471252
4,large_final_same_sign,0,4,0.9821000099182129
5,large_final_same_sign,0,5,0.9824000000953674
6,large_final_same_sign,0,6,0.9835000038146973
7,large_final_same_sign,0,7,0.9850000143051147
8,large_final_same_sign,0,8,0.9836999773979187
9,large_final_same_sign,0,9,0.984000027179718
10,large_final_same_sign,0,10,0.9836000204086304
11,large_final_same_sign,0,11,0.983299970626831
12,large_final_same_sign,0,12,0.9825000166893005
13,large_final_same_sign,0,13,0.9811999797821045
14,large_final_same_sign,0,14,0.9818999767303467
15,large_final_same_sign,0,15,0.9803000092506409
16,large_final_same_sign,0,16,0.9789999723434448
17,large_final_same_sign,0,17,0.9794999957084656
18,large_final_same_sign,0,18,0.9767000079154968
19,large_final_same_sign,0,19,0.9746000170707703
20,large_final_same_sign,0,20,0.9710000157356262
21,large_final_same_sign,0,21,0.9672999978065491
22,large_final_same_sign,0,22,0.9616000056266785
23,large_final_same_sign,0,23,0.9596999883651733
24,large_final_same_sign,0,24,0.947700023651123
25,large_final_diff_sign,0,0,0.9786999821662903
26,large_final_diff_sign,0,1,0.9767000079154968
27,large_final_diff_sign,0,2,0.9787999987602234
28,large_final_diff_sign,0,3,0.9775000214576721
29,large_final_diff_sign,0,4,0.9764000177383423
30,large_final_diff_sign,0,5,0.9775000214576721
31,large_final_diff_sign,0,6,0.9771000146865845
32,large_final_diff_sign,0,7,0.9769999980926514
33,large_final_diff_sign,0,8,0.9761000275611877
34,large_final_diff_sign,0,9,0.972000002861023
35,large_final_diff_sign,0,10,0.972000002861023
36,large_final_diff_sign,0,11,0.9685999751091003
37,large_final_diff_sign,0,12,0.9702000021934509
38,large_final_diff_sign,0,13,0.9677000045776367
39,large_final_diff_sign,0,14,0.963699996471405
40,large_final_diff_sign,0,15,0.9580000042915344
41,large_final_diff_sign,0,16,0.9495999813079834
42,large_final_diff_sign,0,17,0.9394000172615051
43,large_final_diff_sign,0,18,0.9294000267982483
44,large_final_diff_sign,0,19,0.9108999967575073
45,large_final_diff_sign,0,20,0.8259999752044678
46,large_final_diff_sign,0,21,0.6394000053405762
47,large_final_diff_sign,0,22,0.5037000179290771
48,large_final_diff_sign,0,23,0.5302000045776367
49,large_final_diff_sign,0,24,0.29030001163482666
50,large_final,0,0,0.9786999821662903
51,large_final,0,1,0.9793000221252441
52,large_final,0,2,0.9811000227928162
53,large_final,0,3,0.9819999933242798
54,large_final,0,4,0.9811999797821045
55,large_final,0,5,0.9814000129699707
56,large_final,0,6,0.9825000166893005
57,large_final,0,7,0.9825999736785889
58,large_final,0,8,0.9829000234603882
59,large_final,0,9,0.9825999736785889
60,large_final,0,10,0.9828000068664551
61,large_final,0,11,0.982699990272522
62,large_final,0,12,0.98089998960495
63,large_final,0,13,0.9800999760627747
64,large_final,0,14,0.9800999760627747
65,large_final,0,15,0.9797000288963318
66,large_final,0,16,0.9782000184059143
67,large_final,0,17,0.9764000177383423
68,large_final,0,18,0.9750999808311462
69,large_final,0,19,0.9729999899864197
70,large_final,0,20,0.9677000045776367
71,large_final,0,21,0.9621999859809875
72,large_final,0,22,0.9625999927520752
73,large_final,0,23,0.9513999819755554
74,large_final,0,24,0.9483000040054321
75,large_final_same_sign,1,0,0.9799000024795532
76,large_final_same_sign,1,1,0.980400025844574
77,large_final_same_sign,1,2,0.9799000024795532
78,large_final_same_sign,1,3,0.9786999821662903
79,large_final_same_sign,1,4,0.9814000129699707
80,large_final_same_sign,1,5,0.9824000000953674
81,large_final_same_sign,1,6,0.9828000068664551
82,large_final_same_sign,1,7,0.9829999804496765
83,large_final_same_sign,1,8,0.983299970626831
84,large_final_same_sign,1,9,0.9842000007629395
85,large_final_same_sign,1,10,0.9833999872207642
86,large_final_same_sign,1,11,0.9824000000953674
87,large_final_same_sign,1,12,0.9829000234603882
88,large_final_same_sign,1,13,0.9817000031471252
89,large_final_same_sign,1,14,0.9815000295639038
90,large_final_same_sign,1,15,0.9800999760627747
91,large_final_same_sign,1,16,0.9776999950408936
92,large_final_same_sign,1,17,0.9757000207901001
93,large_final_same_sign,1,18,0.9747999906539917
94,large_final_same_sign,1,19,0.973800003528595
95,large_final_same_sign,1,20,0.968999981880188
96,large_final_same_sign,1,21,0.9675999879837036
97,large_final_same_sign,1,22,0.9642000198364258
98,large_final_same_sign,1,23,0.9574999809265137
99,large_final_same_sign,1,24,0.947700023651123
100,large_final_diff_sign,1,0,0.9799000024795532
101,large_final_diff_sign,1,1,0.9800000190734863
102,large_final_diff_sign,1,2,0.9782000184059143
103,large_final_diff_sign,1,3,0.9772999882698059
104,large_final_diff_sign,1,4,0.9779999852180481
105,large_final_diff_sign,1,5,0.9782000184059143
106,large_final_diff_sign,1,6,0.9769999980926514
107,large_final_diff_sign,1,7,0.9764000177383423
108,large_final_diff_sign,1,8,0.9742000102996826
109,large_final_diff_sign,1,9,0.9745000004768372
110,large_final_diff_sign,1,10,0.9731000065803528
111,large_final_diff_sign,1,11,0.9696999788284302
112,large_final_diff_sign,1,12,0.9664999842643738
113,large_final_diff_sign,1,13,0.9661999940872192
114,large_final_diff_sign,1,14,0.9614999890327454
115,large_final_diff_sign,1,15,0.9575999975204468
116,large_final_diff_sign,1,16,0.9509999752044678
117,large_final_diff_sign,1,17,0.9413999915122986
118,large_final_diff_sign,1,18,0.932699978351593
119,large_final_diff_sign,1,19,0.9144999980926514
120,large_final_diff_sign,1,20,0.843500018119812
121,large_final_diff_sign,1,21,0.7896000146865845
122,large_final_diff_sign,1,22,0.6093999743461609
123,large_final_diff_sign,1,23,0.560699999332428
124,large_final_diff_sign,1,24,0.3411000072956085
125,large_final,1,0,0.9799000024795532
126,large_final,1,1,0.9797000288963318
127,large_final,1,2,0.9797000288963318
128,large_final,1,3,0.9828000068664551
129,large_final,1,4,0.9828000068664551
130,large_final,1,5,0.982200026512146
131,large_final,1,6,0.9840999841690063
132,large_final,1,7,0.9842000007629395
133,large_final,1,8,0.983299970626831
134,large_final,1,9,0.9824000000953674
135,large_final,1,10,0.9822999835014343
136,large_final,1,11,0.9817000031471252
137,large_final,1,12,0.9818999767303467
138,large_final,1,13,0.9815999865531921
139,large_final,1,14,0.9800000190734863
140,large_final,1,15,0.9789000153541565
141,large_final,1,16,0.9799000024795532
142,large_final,1,17,0.978600025177002
143,large_final,1,18,0.9758999943733215
144,large_final,1,19,0.972100019454956
145,large_final,1,20,0.9697999954223633
146,large_final,1,21,0.9621000289916992
147,large_final,1,22,0.9599999785423279
148,large_final,1,23,0.953499972820282
149,large_final,1,24,0.942799985408783
150,large_final_same_sign,2,0,0.9796000123023987
151,large_final_same_sign,2,1,0.9793000221252441
152,large_final_same_sign,2,2,0.9814000129699707
153,large_final_same_sign,2,3,0.9818999767303467
154,large_final_same_sign,2,4,0.98089998960495
155,large_final_same_sign,2,5,0.9814000129699707
156,large_final_same_sign,2,6,0.9819999933242798
157,large_final_same_sign,2,7,0.9837999939918518
158,large_final_same_sign,2,8,0.9833999872207642
159,large_final_same_sign,2,9,0.9828000068664551
160,large_final_same_sign,2,10,0.9824000000953674
161,large_final_same_sign,2,11,0.9825999736785889
162,large_final_same_sign,2,12,0.9825999736785889
163,large_final_same_sign,2,13,0.9818000197410583
164,large_final_same_sign,2,14,0.9800999760627747
165,large_final_same_sign,2,15,0.9797000288963318
166,large_final_same_sign,2,16,0.9790999889373779
167,large_final_same_sign,2,17,0.9783999919891357
